Entity,Property
crm:E29 _Design_or_Procedure,P107_has_current_or_former_member
crm:E4_Period,P10_falls_within
crm:E5_Event,P138_represents
crm:E73_Information_Object,P14_carried_out_by
crm:E74_Group,P67_refers_to
crm:E78_Curated_Holding,crm:E57_consist_of
dcterms:Text,crm:E74_Group
foaf:Person,crm:P102_has_title
frbrer:Character,crm:P32_used_general_technique
schema:Article,crm:P43_has_dimension
schema:Book,crm:P52_has_current_owner
schema:ImageObject,crm:P55_has_current_location
schema:Manuscript,dcterms:created
schema:Movie,dcterms:creator
schema:Periodical,dcterms:extent
schema:Place,dcterms:format
schema:TVSeries,dcterms:isPartOf
schema:VisualArtwork,dcterms:issued
skos:Concept,dcterms:language
,dcterms:publisher
,dcterms:relation
,dcterms:subject
,owl:sameAs
,rdf:type
,schema:about
,schema:birthPlace
,schema:countryOfOrigin
,schema:director
,schema:duration
,schema:genre
,schema:hasOccupation
,schema:isBasedOn
,schema:location
,schema:locationCreated
,schema:numberOfEpisodes
,schema:productionCompany
,schema:recipient
,schema:recordedAt
,schema:sender
